	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
415	Furkan Orak		DF	Rizespor	24-349	2001	1	0	12	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
416	Emir Ortakaya	tr TUR	DF	Eyüpspor	21-324	2004	9	8	728	8.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
417	Emir Ortakaya	tr TUR	DF	Rizespor	21-324	2004	3	0	48	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
418	Victor Osimhen	ng NGA	FW	Galatasaray	27-134	1998	22	19	1,707	19.0	15	5	20	13	2	2	8	0	0.79	0.26	1.05	0.69	0.95	Matches
419	Sinan Osmanoğlu	tr TUR	DF	Gençlerbirliği	36-123	1990	7	0	70	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
420	Berkay Özcan	tr TUR	MF	Fatih Karagümrük	28-086	1998	32	25	2,278	25.3	0	1	1	0	0	0	1	0	0.00	0.04	0.04	0.00	0.04	Matches
421	Yasin Özcan	tr TUR	DF	Beşiktaş	20-022	2006	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
422	Ogün Özçiçek		MF	Gaziantep FK	27-108	1999	20	13	1,162	12.9	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
423	Berat Özdemir	tr TUR	MF,DF	Başakşehir	27-354	1998	17	10	918	10.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
424	Yusuf Özdemir	tr TUR	MF	Alanyaspor	25-122	2001	11	10	906	10.1	1	1	2	1	0	0	1	0	0.10	0.10	0.20	0.10	0.20	Matches
425	Berke Özer	tr TUR	GK	Eyüpspor	25-352	2000	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
426	Serhat Öztaşdelen		GK	Kocaelispor	21-154	2004	6	6	540	6.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
427	Bahadır Öztürk	tr TUR	DF	Antalyaspor	30-223	1995	8	4	340	3.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
428	Arda Özyar		FW	Kocaelispor	19-026	2007	1	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
429	Bedirhan Özyurt		DF	Eyüpspor	23-048	2003	11	10	817	9.1	0	0	0	0	0	0	2	2	0.00	0.00	0.00	0.00	0.00	Matches
430	Kenneth Paal	sr SUR	DF,MF	Antalyaspor	28-322	1997	33	31	2,790	31.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
431	Mithat Pala	tr TUR	DF,MF	Rizespor	25-270	2000	29	20	1,859	20.7	2	0	2	2	0	0	1	0	0.10	0.00	0.10	0.10	0.10	Matches
432	Giannis Papanikolaou	gr GRE	MF	Rizespor	27-175	1998	29	22	1,804	20.0	1	0	1	1	0	0	6	1	0.05	0.00	0.05	0.05	0.05	Matches
433	Gabriel Paulista	br BRA	DF	Beşiktaş	35-167	1990	10	10	863	9.6	0	1	1	0	0	0	1	0	0.00	0.10	0.10	0.00	0.10	Matches
434	Pedrinho	br BRA	MF	Konyaspor	29-144	1996	15	6	672	7.5	1	0	1	0	1	1	0	0	0.13	0.00	0.13	0.00	0.00	Matches
435	Pedro Pereira	pt POR	DF	Gençlerbirliği	28-110	1998	29	28	2,529	28.1	0	1	1	0	0	0	11	0	0.00	0.04	0.04	0.00	0.04	Matches
436	Luis Pérez	es ESP	MF,DF	Gaziantep FK	31-097	1995	24	20	1,654	18.4	0	1	1	0	0	0	2	0	0.00	0.05	0.05	0.00	0.05	Matches
437	Bruno Petković	hr CRO	FW	Kocaelispor	31-238	1994	18	15	1,334	14.8	7	0	7	5	2	2	2	0	0.47	0.00	0.47	0.34	0.34	Matches
438	Frantzdy Pierrot	ht HAI	FW	Rizespor	31-044	1995	10	0	123	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
439	Wagner Pina	cv CPV	DF	Trabzonspor	23-190	2002	30	27	2,360	26.2	0	7	7	0	0	0	4	1	0.00	0.27	0.27	0.00	0.27	Matches
440	Lenny Pintor	fr FRA	MF,FW	Eyüpspor	25-280	2000	15	9	739	8.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
441	Onurcan Piri	tr TUR	GK	Kayserispor	31-226	1994	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
442	Daniel Popa	ro ROU	FW	Gençlerbirliği	31-302	1994	1	1	67	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
443	Denis Radu	ro ROU	MF,FW	Eyüpspor	23-048	2003	14	6	573	6.4	0	2	2	0	0	0	2	1	0.00	0.31	0.31	0.00	0.31	Matches
444	Jesurun Rak Sakyi	eng ENG	MF	Rizespor	23-219	2002	11	11	807	9.0	4	1	5	4	0	0	1	0	0.45	0.11	0.56	0.45	0.56	Matches
445	Milot Rashica	xk KVX	MF	Beşiktaş	29-318	1996	25	8	986	11.0	1	3	4	1	0	0	1	0	0.09	0.27	0.37	0.09	0.37	Matches
446	Rhaldney	br BRA	MF	Göztepe	27-173	1998	18	12	1,083	12.0	1	1	2	1	0	0	3	1	0.08	0.08	0.17	0.08	0.17	Matches
447	Rigoberto Rivas	hn HON	MF,FW	Kocaelispor	27-285	1998	21	12	1,086	12.1	1	1	2	1	0	0	3	0	0.08	0.08	0.17	0.08	0.17	Matches
448	Enzo Roco	cl CHI	DF	Fatih Karagümrük	33-269	1992	7	7	575	6.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
449	Kévin Rodrigues	pt POR	DF,MF	Gaziantep FK	32-068	1994	27	25	2,194	24.4	2	3	5	2	0	0	7	1	0.08	0.12	0.21	0.08	0.21	Matches
450	Dorin Rotariu	ro ROU	FW,MF	Eyüpspor	30-287	1995	3	0	68	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
451	Ruan	br BRA	MF	Alanyaspor	21-009	2005	27	25	2,155	23.9	1	1	2	1	0	0	4	0	0.04	0.04	0.08	0.04	0.08	Matches
452	Ruan	br BRA	MF	Göztepe	30-348	1995	2	1	114	1.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
453	Serdar Saatçı	tr TUR	DF	Trabzonspor	23-087	2003	3	2	186	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
454	Ibrahim Sabra	jo JOR	FW	Göztepe	20-100	2006	9	0	91	1.0	1	0	1	1	0	0	1	0	0.99	0.00	0.99	0.99	0.99	Matches
455	Christ Sadia	ci CIV	MF	Eyüpspor	19-031	2007	3	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
456	Ramzi Safouri	il ISR	MF	Antalyaspor	30-203	1995	24	20	1,721	19.1	1	5	6	1	0	0	7	0	0.05	0.26	0.31	0.05	0.31	Matches
457	Ahmet Sagat	de GER	FW	Kocaelispor	29-350	1996	2	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
458	Görkem Sağlam	de GER	MF	Kayserispor	28-031	1998	10	1	202	2.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
459	Modibo Sagnan	ml MLI	DF	Rizespor	27-028	1999	19	16	1,408	15.6	1	0	1	1	0	0	6	0	0.06	0.00	0.06	0.06	0.06	Matches
460	Devrim Şahin		MF	Beşiktaş	19-041	2007	4	2	162	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
461	Samuel Sáiz	es ESP	FW,MF	Eyüpspor	35-110	1991	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
462	Roland Sallai	hu HUN	DF,MF	Galatasaray	28-355	1997	29	26	2,333	25.9	1	3	4	1	0	0	4	1	0.04	0.12	0.15	0.04	0.15	Matches
463	Davinson Sánchez	co COL	DF	Galatasaray	29-334	1996	30	29	2,419	26.9	1	0	1	1	0	0	6	1	0.04	0.00	0.04	0.04	0.04	Matches
464	Leroy Sané	de GER	MF	Galatasaray	30-121	1996	27	26	2,191	24.3	7	5	12	7	0	0	1	1	0.29	0.21	0.49	0.29	0.49	Matches
465	Nazim Sangaré	tr TUR	DF	Gaziantep FK	31-347	1994	14	12	1,056	11.7	0	0	0	0	0	0	4	1	0.00	0.00	0.00	0.00	0.00	Matches
466	Juan Santos	br BRA	FW	Göztepe	24-067	2002	31	29	2,481	27.6	11	4	15	11	0	2	5	1	0.40	0.15	0.54	0.40	0.54	Matches
467	Gabriel Sara	br BRA	MF	Galatasaray	26-320	1999	27	21	1,834	20.4	5	4	9	5	0	0	1	0	0.25	0.20	0.44	0.25	0.44	Matches
468	Veysel Sarı	tr TUR	DF	Antalyaspor	37-291	1988	22	22	1,923	21.4	1	1	2	1	0	0	4	0	0.05	0.05	0.09	0.05	0.09	Matches
469	Yusuf Sari	tr TUR	MF	Başakşehir	27-173	1998	21	18	1,457	16.2	1	6	7	1	0	0	1	0	0.06	0.37	0.43	0.06	0.43	Matches
470	Talha Sarıarslan	tr TUR	FW	Kayserispor	22-114	2004	14	1	164	1.8	2	2	4	2	0	0	1	0	1.10	1.10	2.20	1.10	2.20	Matches
