	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Myenty Abena	sr SUR	DF	Gaziantep FK	31-151	1994	23	20	1,836	20.4	1	1	2	1	0	0	2	1	0.05	0.05	0.10	0.05	0.10	Matches
2	Tammy Abraham	eng ENG	FW	Beşiktaş	28-222	1997	18	15	1,247	13.9	7	1	8	6	1	2	3	0	0.51	0.07	0.58	0.43	0.51	Matches
3	Yaw Ackah	gh GHA	MF	Kayserispor	26-345	1999	3	2	184	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
4	Emmanuel Agbadou	ci CIV	DF	Beşiktaş	28-329	1997	12	11	1,001	11.1	1	1	2	1	0	0	3	0	0.09	0.09	0.18	0.09	0.18	Matches
5	Dan Agyei	gh GHA	MF,FW	Kocaelispor	28-345	1997	30	22	2,052	22.8	5	0	5	5	0	0	0	0	0.22	0.00	0.22	0.22	0.22	Matches
6	Youssef Aït Bennasser	ma MAR	MF,DF	Kayserispor	29-309	1996	21	19	1,468	16.3	0	0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
7	Samet Akaydın	tr TUR	DF	Rizespor	32-060	1994	29	29	2,566	28.5	3	1	4	3	0	0	11	1	0.11	0.04	0.14	0.11	0.14	Matches
8	Emre Akbaba	tr TUR	MF,FW	Eyüpspor	33-220	1992	22	10	987	11.0	4	0	4	3	1	1	3	0	0.36	0.00	0.36	0.27	0.27	Matches
9	Halil Akbunar	tr TUR	MF,FW	Eyüpspor	32-184	1993	12	6	507	5.6	2	0	2	2	0	0	1	0	0.36	0.00	0.36	0.36	0.36	Matches
10	Yusuf Akçiçek	tr TUR	DF	Fenerbahçe	20-107	2006	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
11	Ümit Akdag	ro ROU	DF	Alanyaspor	22-218	2003	30	30	2,621	29.1	1	2	3	1	0	0	8	0	0.03	0.07	0.10	0.03	0.10	Matches
12	Tuğbey Akgün	tr TUR	MF	Fatih Karagümrük	23-033	2003	1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
13	Yunus Akgün	tr TUR	MF	Galatasaray	25-309	2000	28	23	1,813	20.1	7	9	16	7	0	0	1	0	0.35	0.45	0.79	0.35	0.79	Matches
14	Gökhan Akkan	tr TUR	GK	Gençlerbirliği	31-131	1995	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Muhammet Akmelek		FW	Gaziantep FK	16-340	2009	1	0	13	0.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
16	Fatih Aksoy	tr TUR	DF,MF	Alanyaspor	28-187	1997	18	9	840	9.3	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
17	Kerem Aktürkoğlu	tr TUR	MF,FW	Fenerbahçe	27-203	1998	28	23	1,860	20.7	6	7	13	5	1	1	3	0	0.29	0.34	0.63	0.24	0.58	Matches
18	Kaan Akyazi		FW	Konyaspor	20-258	2005	5	0	25	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
19	Ufuk Akyol	de GER	MF	Konyaspor	28-258	1997	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
20	Enes Albak	tr TUR	DF	Samsunspor	20-361	2005	2	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
21	Danijel Aleksić	rs SRB	MF	Konyaspor	35-012	1991	3	3	195	2.2	1	0	1	1	0	0	0	0	0.46	0.00	0.46	0.46	0.46	Matches
22	Ömer Ali Şahiner	tr TUR	DF	Başakşehir	34-130	1992	25	21	1,756	19.5	2	0	2	2	0	0	5	0	0.10	0.00	0.10	0.10	0.10	Matches
23	Xusniddin Aliqulov	uz UZB	DF	Rizespor	27-038	1999	7	5	426	4.7	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
24	Fidan Aliti	xk KVX	DF	Alanyaspor	32-221	1993	29	29	2,582	28.7	0	1	1	0	0	0	10	0	0.00	0.03	0.03	0.00	0.03	Matches
25	Jim Allevinah	ga GAB	MF	Kasımpaşa	31-074	1995	8	3	248	2.8	1	0	1	1	0	0	2	0	0.36	0.00	0.36	0.36	0.36	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Barış Alper Yılmaz	tr TUR	MF,FW	Galatasaray	25-354	2000	30	27	2,306	25.6	8	11	19	5	3	3	7	0	0.31	0.43	0.74	0.20	0.62	Matches
27	Taha Altıkardeş	tr TUR	DF	Göztepe	22-263	2003	27	14	1,298	14.4	1	0	1	1	0	0	0	0	0.07	0.00	0.07	0.07	0.07	Matches
28	Metehan Altunbaş	tr TUR	MF,FW	Eyüpspor	23-125	2003	17	11	939	10.4	6	0	6	5	1	1	4	0	0.58	0.00	0.58	0.48	0.48	Matches
29	Edson Álvarez	mx MEX	MF	Fenerbahçe	28-200	1997	12	10	762	8.5	0	1	1	0	0	0	4	0	0.00	0.12	0.12	0.00	0.12	Matches
30	Michael Amir Murillo	pa PAN	DF	Beşiktaş	30-090	1996	11	10	868	9.6	1	1	2	1	0	0	4	0	0.10	0.10	0.21	0.10	0.21	Matches
31	Sofyan Amrabat	ma MAR	MF	Fenerbahçe	29-264	1996	2	1	97	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
32	Charles André Raux	fr FRA	MF	Eyüpspor	24-178	2001	15	5	503	5.6	2	0	2	2	0	0	3	0	0.36	0.00	0.36	0.36	0.36	Matches
33	Yhoan Andzouana	cg CGO	DF,MF	Konyaspor	29-150	1996	30	28	2,525	28.1	2	4	6	2	0	0	3	0	0.07	0.14	0.21	0.07	0.21	Matches
34	Seyfettin Anıl Yaşar	tr TUR	DF	Eyüpspor	23-315	2002	5	4	355	3.9	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	Matches
35	Taylan Antalyalı	tr TUR	MF	Rizespor	31-124	1995	27	14	1,216	13.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
36	Alexis Antunes	ch SUI	MF	Göztepe	25-285	2000	12	7	616	6.8	1	1	2	1	0	0	2	0	0.15	0.15	0.29	0.15	0.29	Matches
37	Aaron Appindangoyé	ga GAB	DF	Kocaelispor	34-081	1992	4	4	315	3.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Adam Arous	tn TUN	DF	Kasımpaşa	21-299	2004	20	18	1,580	17.6	1	0	1	1	0	0	2	0	0.06	0.00	0.06	0.06	0.06	Matches
39	Marco Asensio	es ESP	MF	Fenerbahçe	30-111	1996	25	22	1,871	20.8	11	12	23	11	0	0	2	0	0.53	0.58	1.11	0.53	1.11	Matches
40	Kristjan Asllani	al ALB	MF	Beşiktaş	24-064	2002	13	10	812	9.0	2	2	4	0	2	2	0	1	0.22	0.22	0.44	0.00	0.22	Matches
41	Yaser Asprilla	co COL	MF	Galatasaray	22-174	2003	7	1	159	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Kouadou Assoumou	fr FRA	MF,FW	Samsunspor	23-207	2002	6	5	366	4.1	1	0	1	1	0	0	0	0	0.25	0.00	0.25	0.25	0.25	Matches
43	Felipe Augusto	br BRA	MF,FW	Trabzonspor	22-083	2004	31	25	2,120	23.6	13	0	13	13	0	0	1	0	0.55	0.00	0.55	0.55	0.55	Matches
44	Loide Augusto	ao ANG	MF,FW	Rizespor	26-075	2000	20	14	1,126	12.5	3	2	5	3	0	0	5	0	0.24	0.16	0.40	0.24	0.40	Matches
45	Furkan Ayaz			Gençlerbirliği	16-223	2009	3	0	20	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
46	Eyüp Aydın	tr TUR	MF	Samsunspor	21-283	2004	6	4	326	3.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
47	Eyüp Aydın	tr TUR	MF	Kasımpaşa	21-283	2004	4	0	76	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
48	Oğuz Aydın	tr TUR	MF,DF	Fenerbahçe	25-197	2000	20	4	561	6.2	0	1	1	0	0	0	2	0	0.00	0.16	0.16	0.00	0.16	Matches
49	Taylan Aydın	tr TUR	DF	Kasımpaşa	20-091	2006	2	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
50	Soner Aydoğdu	tr TUR	MF	Samsunspor	35-127	1991	8	0	105	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Kaan Ayhan	tr TUR	DF	Galatasaray	31-183	1994	18	1	304	3.4	1	0	1	1	0	0	1	0	0.30	0.00	0.30	0.30	0.30	Matches
52	Ousseynou Ba	sn SEN	DF	Başakşehir	30-182	1995	16	9	1,004	11.2	0	0	0	0	0	0	7	1	0.00	0.00	0.00	0.00	0.00	Matches
53	Mame Baba Thiam	sn SEN	FW,MF	Eyüpspor	33-215	1992	14	13	1,178	13.1	2	0	2	2	0	0	4	0	0.15	0.00	0.15	0.15	0.15	Matches
54	Shavy Babicka	ga GAB	MF,FW	Fatih Karagümrük	25-345	2000	14	10	829	9.2	1	1	2	1	0	0	0	0	0.11	0.11	0.22	0.11	0.22	Matches
55	Juninho Bacuna	cw CUW	MF	Gaziantep FK	28-278	1997	9	2	219	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
56	Bünyamin Balcı	tr TUR	DF	Antalyaspor	25-346	2000	32	24	2,259	25.1	0	4	4	0	0	0	4	0	0.00	0.16	0.16	0.00	0.16	Matches
57	Jure Balkovec	si SVN	DF	Fatih Karagümrük	31-245	1994	17	17	1,511	16.8	0	0	0	0	0	0	7	1	0.00	0.00	0.00	0.00	0.00	Matches
58	Samuel Ballet	ch SUI	MF,FW	Antalyaspor	25-061	2001	23	16	1,631	18.1	4	0	4	4	0	0	9	0	0.22	0.00	0.22	0.22	0.22	Matches
59	Botond Balogh	hu HUN	DF	Kocaelispor	23-340	2002	21	18	1,657	18.4	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
60	Metehan Baltacı	tr TUR	DF	Galatasaray	23-190	2002	2	0	26	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
61	Rayyan Baniya		DF	Trabzonspor	27-083	1999	6	1	218	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
62	Rayyan Baniya		DF	Konyaspor	27-083	1999	2	0	40	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
63	Yusuf Barasi	tr TUR	MF	Kasımpaşa	23-042	2003	8	3	275	3.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
64	Abdülkerim Bardakcı	tr TUR	DF	Galatasaray	31-247	1994	30	30	2,541	28.2	0	1	1	0	0	0	5	0	0.00	0.04	0.04	0.00	0.04	Matches
65	Enis Bardhi	mk MKD	MF	Konyaspor	30-314	1995	32	23	2,052	22.8	5	4	9	3	2	2	5	1	0.22	0.18	0.39	0.13	0.31	Matches
66	Boran Başkan	tr TUR	MF	Trabzonspor	20-044	2006	2	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
67	Arsenii Batahov	ua UKR	DF	Trabzonspor	24-068	2002	24	24	2,115	23.5	0	2	2	0	0	0	1	0	0.00	0.09	0.09	0.00	0.09	Matches
68	Bilal Bayazit	nl NED	GK	Kayserispor	27-034	1999	28	28	2,520	28.0	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
69	Furkan Bayır	tr TUR	DF	Göztepe	26-092	2000	9	4	338	3.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
70	Ogün Bayrak		MF,DF	Göztepe	27-214	1998	15	7	549	6.1	0	1	1	0	0	0	1	0	0.00	0.16	0.16	0.00	0.16	Matches
71	Riechedly Bazoer	cw CUW	DF	Konyaspor	29-212	1996	14	9	838	9.3	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
72	Rodrigo Becão	br BRA	DF	Fenerbahçe	30-113	1996	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
73	Rodrigo Becão	br BRA	DF	Kasımpaşa	30-113	1996	12	12	1,022	11.4	0	1	1	0	0	0	4	1	0.00	0.09	0.09	0.00	0.09	Matches
74	Efkan Bekiroğlu		MF	Göztepe	30-240	1995	25	14	1,062	11.8	3	3	6	3	0	0	3	0	0.25	0.25	0.51	0.25	0.51	Matches
75	Furkan Bekleviç	tr TUR	GK	Fatih Karagümrük	27-101	1999	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Mortadha Ben Ouanes	tn TUN	MF	Kasımpaşa	31-314	1994	27	26	2,261	25.1	2	6	8	2	0	0	8	1	0.08	0.24	0.32	0.08	0.32	Matches
77	Adrian Benedyczak	pl POL	FW,MF	Kasımpaşa	25-169	2000	13	13	1,066	11.8	9	1	10	6	3	3	1	0	0.76	0.08	0.84	0.51	0.59	Matches
78	László Bénes	sk SVK	MF	Kayserispor	28-245	1997	31	28	2,487	27.6	6	2	8	6	0	1	3	1	0.22	0.07	0.29	0.22	0.29	Matches
79	El Bilal Touré	ml MLI	MF,FW	Beşiktaş	24-221	2001	21	18	1,557	17.3	5	4	9	5	0	0	4	1	0.29	0.23	0.52	0.29	0.52	Matches
80	Tayfur Bingöl	tr TUR	MF,FW	Kocaelispor	33-121	1993	29	23	2,076	23.1	5	2	7	5	0	0	6	0	0.22	0.09	0.30	0.22	0.30	Matches
81	Davide Biraschi	it ITA	DF	Fatih Karagümrük	31-314	1994	13	13	1,054	11.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
82	Morten Bjørlo	no NOR	MF	Konyaspor	30-220	1995	28	14	1,335	14.8	0	3	3	0	0	0	4	0	0.00	0.20	0.20	0.00	0.20	Matches
83	Emmanuel Boateng	gh GHA	FW	Gaziantep FK	29-354	1996	11	4	472	5.2	1	0	1	1	0	0	2	0	0.19	0.00	0.19	0.19	0.19	Matches
84	Sacha Boey	fr FRA	DF	Galatasaray	25-241	2000	10	5	484	5.4	1	0	1	1	0	0	0	0	0.19	0.00	0.19	0.19	0.19	Matches
85	Malcom Bokélé	cm CMR	DF	Göztepe	26-089	2000	29	29	2,558	28.4	3	0	3	2	1	1	10	1	0.11	0.00	0.11	0.07	0.07	Matches
86	Yohan Boli	ci CIV	FW	Antalyaspor	32-176	1993	20	8	859	9.5	2	1	3	2	0	0	0	0	0.21	0.10	0.31	0.21	0.31	Matches
87	Toni Borevkovic	hr CRO	DF	Samsunspor	28-328	1997	18	10	1,139	12.7	1	0	1	1	0	0	2	0	0.08	0.00	0.08	0.08	0.08	Matches
88	Arif Boşluk		DF	Trabzonspor	22-340	2003	13	2	370	4.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
89	Arif Boşluk		DF	Konyaspor	22-340	2003	11	8	682	7.6	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
90	Melih Bostan	tr TUR	FW	Konyaspor	22-034	2004	10	0	120	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
91	Salem Bouajila	fi FIN	FW	Göztepe	18-284	2007	4	0	17	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
92	Benjamin Bouchouari	ma MAR	MF	Trabzonspor	24-180	2001	16	5	530	5.9	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	Matches
93	Umut Bozok	tr TUR	FW	Eyüpspor	29-235	1996	31	22	2,012	22.4	6	5	11	4	2	2	4	0	0.27	0.22	0.49	0.18	0.40	Matches
94	Joshua Brenet	cw CUW	DF,MF	Kayserispor	32-053	1994	10	8	708	7.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
95	Ivan Brnić	hr CRO	MF	Başakşehir	24-262	2001	27	7	914	10.2	4	3	7	4	0	0	0	0	0.39	0.30	0.69	0.39	0.69	Matches
96	Archie Brown	eng ENG	DF,MF	Fenerbahçe	23-349	2002	24	16	1,471	16.3	3	2	5	3	0	0	4	0	0.18	0.12	0.31	0.18	0.31	Matches
97	İsmail Buğa		MF	Konyaspor	19-277	2006	3	0	24	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
98	Tahsin Bülbül		MF	Samsunspor	19-337	2006	3	1	84	0.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
99	Muhamed Buljubasic	ba BIH	MF	Rizespor	21-312	2004	22	7	791	8.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
100	Emrecan Bulut		MF,FW	Rizespor	24-106	2002	18	6	585	6.5	1	2	3	1	0	0	1	0	0.15	0.31	0.46	0.15	0.46	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Onur Bulut	tr TUR	DF	Başakşehir	32-026	1994	17	9	969	10.8	0	1	1	0	0	0	1	0	0.00	0.09	0.09	0.00	0.09	Matches
102	Taylan Bulut	de GER	DF	Beşiktaş	20-113	2006	7	5	445	4.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
103	Abdulsamet Burak		DF	Kayserispor	29-364	1996	8	5	375	4.2	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
104	Mustafa Burak Bozan		GK	Gaziantep FK	25-262	2000	13	13	1,143	12.7	0	1	1	0	0	0	2	1	0.00	0.08	0.08	0.00	0.08	Matches
105	Cafú	pt POR	MF	Kasımpaşa	33-075	1993	24	14	1,236	13.7	0	1	1	0	0	0	6	2	0.00	0.07	0.07	0.00	0.07	Matches
106	Oğulcan Çağlayan	tr TUR	FW	Kocaelispor	30-051	1996	4	2	196	2.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
107	Uğurcan Çakır	tr TUR	GK	Galatasaray	30-037	1996	25	25	2,250	25.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
108	Uğurcan Çakır	tr TUR	GK	Trabzonspor	30-037	1996	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
109	Onuralp Çakiroğlu	tr TUR	FW	Trabzonspor	18-158	2007	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
110	Lucas Calegari	br BRA	DF,MF	Eyüpspor	24-074	2002	21	18	1,528	17.0	1	2	3	1	0	0	1	0	0.06	0.12	0.18	0.06	0.18	Matches
111	Josip Čalušić	hr CRO	DF	Konyaspor	32-213	1993	8	2	298	3.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
112	João Pedro Gomes Camacho	pt POR	MF	Fatih Karagümrük	31-323	1994	8	3	319	3.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
113	Drissa Camara	ci CIV	MF	Gaziantep FK	24-083	2002	26	21	1,732	19.2	3	6	9	3	0	0	6	1	0.16	0.31	0.47	0.16	0.47	Matches
114	İrfan Can Eğribayat	tr TUR	GK	Samsunspor	27-316	1998	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
115	İrfan Can Eğribayat	tr TUR	GK	Fenerbahçe	27-316	1998	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
116	Mesut Can Tunalı		MF	Kocaelispor	24-308	2001	1	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
117	Cihan Çanak	tr TUR	MF	Gençlerbirliği	21-108	2005	13	1	378	4.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
118	Cihan Çanak	tr TUR	MF	Trabzonspor	21-108	2005	4	0	42	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
119	Atakan Çankaya	tr TUR	DF	Fatih Karagümrük	27-321	1998	17	17	1,530	17.0	1	1	2	1	0	0	3	0	0.06	0.06	0.12	0.06	0.12	Matches
120	Erdem Canpolat	de GER	GK	Rizespor	25-029	2001	7	7	630	7.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
121	Miguel Filipe Nunes Cardoso	pt POR	MF,FW	Kayserispor	31-327	1994	32	32	2,852	31.7	2	6	8	2	0	0	6	0	0.06	0.19	0.25	0.06	0.25	Matches
122	Lionel Carole	fr FRA	DF	Kayserispor	35-030	1991	23	22	1,810	20.1	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
123	Ebrima Ceesay	gm GAM	FW	Samsunspor	19-345	2006	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
124	Jesper Ceesay	gm GAM	MF	Antalyaspor	24-204	2001	30	21	2,098	23.3	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
125	Cihat Çelik	nl NED	MF	Kocaelispor	30-130	1996	2	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	İzzet Çelik	tr TUR	MF	Alanyaspor	21-326	2004	12	0	156	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
127	Yiğit Çeltik	tr TUR	MF	Kayserispor	23-035	2003	1	0	19	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
128	Václav Černý	cz CZE	MF	Beşiktaş	28-207	1997	29	25	1,946	21.6	4	8	12	4	0	0	1	0	0.18	0.37	0.55	0.18	0.55	Matches
129	Tarık Çetin	tr TUR	GK	Fenerbahçe	29-124	1997	2	2	180	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Fyodor Chalov	ru RUS	FW,MF	Kayserispor	28-032	1998	13	8	770	8.6	1	1	2	1	0	0	1	0	0.12	0.12	0.23	0.12	0.23	Matches
131	Muhammed Cham	at AUT	MF	Trabzonspor	25-228	2000	1	0	5	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
132	Sidiki Cherif	fr FRA	FW	Fenerbahçe	19-148	2006	12	7	647	7.2	2	0	2	2	0	0	0	0	0.28	0.00	0.28	0.28	0.28	Matches
133	Amine Cherni	tn TUN	MF	Göztepe	24-309	2001	33	33	2,911	32.3	0	4	4	0	0	0	1	0	0.00	0.12	0.12	0.00	0.12	Matches
134	Darko Churlinov	mk MKD	MF,FW	Kocaelispor	25-305	2000	25	11	996	11.1	0	3	3	0	0	0	2	0	0.00	0.27	0.27	0.00	0.27	Matches
135	Kayra Cihan	tr TUR	DF	Kayserispor	18-224	2007	4	1	96	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
136	Mirza Cihan		FW	Gaziantep FK	25-198	2000	3	0	25	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
137	Muharrem Cinan		DF	Kocaelispor	27-364	1998	10	4	404	4.5	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
138	Anıl Çınar		DF	Fatih Karagümrük	22-306	2003	15	10	1,013	11.3	2	0	2	2	0	0	4	0	0.18	0.00	0.18	0.18	0.18	Matches
139	Ramazan Civelek	tr TUR	DF,MF	Kayserispor	30-110	1996	30	25	2,141	23.8	0	2	2	0	0	0	7	0	0.00	0.08	0.08	0.00	0.08	Matches
140	Luccas Claro	br BRA	DF	Eyüpspor	34-222	1991	16	15	1,327	14.7	1	0	1	1	0	0	2	0	0.07	0.00	0.07	0.07	0.07	Matches
141	Kamil Çörekçi	tr TUR	DF	Kasımpaşa	34-100	1992	8	8	673	7.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
142	Nuno da Costa	cv CPV	MF,FW	Başakşehir	35-091	1991	25	8	841	9.3	3	1	4	3	0	0	3	0	0.32	0.11	0.43	0.32	0.43	Matches
143	Tanguy Coulibaly	fr FRA	MF	Samsunspor	25-083	2001	12	8	651	7.2	1	0	1	1	0	0	4	0	0.14	0.00	0.14	0.14	0.14	Matches
144	Crespo	pt POR	MF	Başakşehir	29-243	1996	18	11	1,041	11.6	0	5	5	0	0	0	3	0	0.00	0.43	0.43	0.00	0.43	Matches
145	Kevin Csoboth	hu HUN	FW	Gençlerbirliği	25-326	2000	5	0	50	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
146	Julián Cuesta	es ESP	GK	Antalyaspor	35-045	1991	20	20	1,800	20.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
147	Tiago Çukur	tr TUR	FW,MF	Fatih Karagümrük	23-163	2002	28	15	1,543	17.1	2	3	5	2	0	0	3	0	0.12	0.17	0.29	0.12	0.29	Matches
148	Tomáš Čvančara	cz CZE	FW	Antalyaspor	25-272	2000	11	6	525	5.8	1	0	1	1	0	0	1	0	0.17	0.00	0.17	0.17	0.17	Matches
149	David Datro Fofana	ci CIV	FW	Fatih Karagümrük	23-141	2002	13	10	982	10.9	6	0	6	6	0	1	0	0	0.55	0.00	0.55	0.55	0.55	Matches
150	Sergio Antonio De Luiz Junior	br BRA	MF,FW	Fatih Karagümrük	31-036	1995	32	26	2,180	24.2	8	1	9	8	0	0	2	0	0.33	0.04	0.37	0.33	0.37	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
151	Gökhan Değirmenci	tr TUR	GK	Kocaelispor	37-052	1989	10	9	855	9.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
152	Tom Dele-Bashiru	ng NGA	MF	Gençlerbirliği	26-237	1999	27	25	2,270	25.2	0	1	1	0	0	0	1	0	0.00	0.04	0.04	0.00	0.04	Matches
153	Dilhan Demir	de GER	MF	Gençlerbirliği	22-318	2003	6	1	102	1.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
