	Playing Time	Starts	Subs	Team Success	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
664	Bruno Viana	br BRA	DF	Alanyaspor	31-096	1995	5	308	62	10.4	3.4	3	87	2	2	24	22	0.80	4	4	0	0.00	-0.03	Matches
665	Paulo Victor Vidotti	br BRA	GK	Alanyaspor	39-120	1987	13	1,170	90	39.4	13.0	13	90	13	0		20	1.15	20	17	+3	+0.23	+0.33	Matches
666	Edin Višća	ba BIH	MF	Trabzonspor	36-084	1990	9	189	21	6.4	2.1	2	37	0	7	16	4	2.22	2	2	0	0.00	-0.81	Matches
667	Güray Vural	tr TUR	MF,FW	Antalyaspor	37-335	1988	4	275	69	9.3	3.1	3	77	1	1	45	0	1.50	3	2	+1	+0.33	+1.13	Matches
668	Mateusz Wieteska	pl POL	DF	Kocaelispor	29-090	1997	1	21	21	0.7	0.2	1	21	0	0		0	0.00	0	0	0	0.00	+0.34	Matches
669	Cláudio Winck	br BRA	DF	Kasımpaşa	32-027	1994	27	2,300	85	77.4	25.6	26	88	22	1	17	0	1.11	26	38	-12	-0.47	+0.20	Matches
670	Eren Yağmur		FW	Konyaspor	19-064	2007	1	11	11	0.4	0.1	0		0	1	11	2	0.00	1	0	+1	+8.18	+8.39	Matches
671	Güven Yalçın	tr TUR	FW,MF	Alanyaspor	27-114	1999	27	990	37	33.3	11.0	12	65	0	15	14	2	1.15	18	14	+4	+0.36	+0.50	Matches
672	Robin Yalçın	de GER	DF	Eyüpspor	32-107	1994	19	1,625	86	54.7	18.1	18	90	18	1	5	0	0.89	13	25	-12	-0.66	-0.46	Matches
673	Samet Yalçın		MF	Kocaelispor	32-070	1994	12	267	22	9.0	3.0	3	64	0	9	8	18	1.42	1	3	-2	-0.67	-0.37	Matches
674	Polat Yaldır	tr TUR	FW	Samsunspor	22-360	2003	6	94	16	3.2	1.0	0		0	6	16	11	0.50	0	3	-3	-2.87	-2.90	Matches
675	Kerem Yandal		GK	Fatih Karagümrük	20-003	2006	0					0		0	0		11							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
676	Mert Yandaş	tr TUR	MF	Fenerbahçe	31-266	1994	0					0		0	0		3							Matches
677	Ata Yanik	tr TUR	DF	Konyaspor	16-362	2009	0					0		0	0		1							Matches
678	Deniz Yaşar		FW	Rizespor	19-215	2006	0					0		0	0		1							Matches
679	Emir Yaşar	tr TUR	GK	Beşiktaş	20-116	2006	0					0		0	0		2							Matches
680	Karahan Yasir Subaşı	tr TUR	DF,MF	Konyaspor	30-131	1996	11	420	38	14.1	4.7	4	82	1	7	13	21	0.91	3	5	-2	-0.43	-0.29	Matches
681	Zeki Yavru	tr TUR	DF	Samsunspor	34-249	1991	27	1,939	72	65.3	21.5	24	80	13	3	6	3	1.54	27	24	+3	+0.14	+0.58	Matches
682	Arda Yavuz		DF	Eyüpspor	19-357	2006	2	68	34	2.3	0.8	1	64	0	1	4	10	0.50	1	0	+1	+1.32	+1.82	Matches
683	Batuhan Yavuz	tr TUR	DF	Alanyaspor	21-008	2005	1	1	1	0.0	0.0	0		0	1	1	13	3.00	0	0	0	0.00	-0.03	Matches
684	Ali Yavuz Kol	tr TUR	MF	Kasımpaşa	25-103	2001	24	719	30	24.2	8.0	5	75	1	19	18	8	0.71	5	10	-5	-0.63	-0.15	Matches
685	Uğurcan Yazgılı	tr TUR	DF	Konyaspor	27-033	1999	26	2,001	77	67.4	22.2	24	82	18	2	13	2	1.19	26	28	-2	-0.09	+0.28	Matches
686	Halil Yeral	tr TUR	GK	Eyüpspor	26-131	2000	0					0		0	0		2							Matches
687	Kerim Yerli̇kaya		GK	Eyüpspor	17-332	2008	0					0		0	0		2							Matches
688	Erdoğan Yeşilyurt		DF,MF	Antalyaspor	32-187	1993	8	391	49	13.2	4.3	5	72	2	3	11	4	1.00	3	8	-5	-1.15	-0.52	Matches
689	Esat Yiğit Alkurt		MF	Trabzonspor	19-079	2007	0					0		0	0		2							Matches
690	Emirhan Yigit		MF	Kasımpaşa	20-012	2006	0					0		0	0		6							Matches
691	Abdullah Yiğiter		GK	Antalyaspor	26-099	2000	13	1,170	90	39.4	13.0	13	90	13	0		18	1.07	13	21	-8	-0.62	+0.13	Matches
692	Bertuğ Yıldırım	tr TUR	FW	Başakşehir	23-304	2002	19	561	30	18.9	6.2	5	55	0	14	21	4	1.53	15	7	+8	+1.28	+0.76	Matches
693	Ege Yıldırım		DF	Göztepe	19-024	2007	1	9	9	0.3	0.1	0		0	1	9	2	3.00	0	0	0	0.00	-0.40	Matches
694	Engin Yıldırım	tr TUR	FW	Antalyaspor	21-117	2005	10	158	16	5.3	1.8	0		0	10	16	6	0.80	2	3	-1	-0.57	+0.13	Matches
695	Berk Yıldızlı		FW	Kasımpaşa	20-327	2005	1	3	3	0.1	0.0	0		0	1	3	0	0.00	0	0	0	0.00	+0.52	Matches
696	Arda Yılmaz	tr TUR	GK	Galatasaray	18-088	2008	0					0		0	0		1							Matches
697	Jankat Yilmaz	tr TUR	GK	Eyüpspor	21-269	2004	13	1,170	90	39.4	13.0	13	90	13	0		15	1.46	19	15	+4	+0.31	+1.26	Matches
698	Jankat Yilmaz	tr TUR	GK	Galatasaray	21-269	2004	0					0		0	0		4							Matches
